t_s,t_over_T,theta_case1_rad,theta_case2_rad
4.530127768073733,3.1935967983991995,0.10586623436789576,0.034701999397928576
4.532966193993579,3.1955977988994495,0.10635034954813892,0.03352015144500257
4.535804619913424,3.1975987993997,0.10681765396900053,0.0323330049744622
4.53864304583327,3.19959979989995,0.10726807376384831,0.031140747638099077
4.541481471753116,3.2016008004002003,0.10770153773499604,0.029943567895578446
4.5443198976729615,3.2036018009004503,0.10811797736495846,0.028741654984647397
4.547158323592807,3.2056028014007003,0.10851732682728145,0.027535198891223175
4.549996749512653,3.2076038019009507,0.10889952299694688,0.026324390319363164
4.552835175432499,3.2096048024012007,0.1092645054603515,0.025109420661117994
4.5556736013523444,3.2116058029014507,0.10961221652485569,0.02389048196628103
4.55851202727219,3.213606803401701,0.10994260122790356,0.02266776691202869
4.561350453192036,3.215607803901951,0.11025560734571059,0.021441468772465107
4.564188879111882,3.2176088044022015,0.11055118540151843,0.020211781388072378
4.567027305031727,3.2196098049024515,0.11082928867341604,0.018978899135068207
4.569865730951573,3.2216108054027015,0.1110898732017249,0.017743016894681964
4.572704156871418,3.223611805902951,0.11133289779594734,0.016504330022351285
4.575542582791264,3.2256128064032015,0.11155832404127819,0.015263034316838817
4.578381008711109,3.2276138069034515,0.11176611630467642,0.014019325989285514
4.581219434630955,3.2296148074037014,0.11195624174049773,0.0127734016321953
4.584057860550801,3.231615807903952,0.1121286702956867,0.011525458188357977
4.586896286470647,3.233616808404202,0.11228337471452711,0.010275692919719637
4.589734712390492,3.235617808904452,0.1124203305429501,0.009024303376202572
4.592573138310338,3.2376188094047023,0.11253951613239993,0.007771487364476537
4.595411564230184,3.2396198099049522,0.11264091264325575,0.006517442916692572
4.5982499901500296,3.2416208104052027,0.1127245040478095,0.005262368259181197
4.601088416069875,3.2436218109054527,0.11279027713279964,0.004006461781116735
4.603926841989721,3.2456228114057026,0.1128382215014996,0.002749922003159065
4.606765267909567,3.247623811905953,0.11286832957536118,0.0014929475460746058
4.6096036938294125,3.249624812406203,0.1128805965952126,0.0002357370993382747
4.612442119749258,3.251625812906453,0.11287502062201071,-0.001021510610272216
4.615280545669104,3.2536268134067035,0.11285160253714745,-0.0022785968500879604
4.61811897158895,3.2556278139069534,0.11281034604231059,-0.003535322912964942
4.620957397508795,3.257628814407204,0.11275125765889865,-0.004791490148690757
4.623795823428641,3.259629814907454,0.11267434672698995,-0.006046899995387659
4.626634249348487,3.261630815407704,0.11257962540386626,-0.007301354010898102
4.629472675268333,3.2636318159079543,0.11246710866209124,-0.008554653904151346
4.632311101188178,3.2656328164082042,0.1123368142871435,-0.009806601566509384
4.635149527108024,3.2676338169084547,0.11218876287460541,-0.01105699910308083
4.63798795302787,3.2696348174087047,0.11202297782690761,-0.012305648864001033
4.6408263789477155,3.2716358179089546,0.11183948534962965,-0.013552353475676638
4.64366480486756,3.273636818409204,0.11163831444735772,-0.014796915871982936
4.646503230787406,3.2756378189094546,0.1114194969191,-0.01603913932541439
4.649341656707252,3.2776388194097046,0.1111830673532601,-0.017278827478181276
4.652180082627098,3.2796398199099546,0.11092906312216967,-0.018515784373248228
4.655018508546943,3.281640820410205,0.11065752437618126,-0.019749814485307715
4.657856934466789,3.283641820910455,0.11036849403732128,-0.020980722751688708
4.660695360386635,3.285642821410705,0.11006201779250559,-0.022208314603189158
4.6635337863064805,3.2876438219109554,0.10973814408631805,-0.023432395994830407
4.666372212226326,3.2896448224112054,0.10939692411335233,-0.0246527734365319
